vendor,service_name,description,sku,os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,Virtual Machines BS Series - B1ms - US Central,B1MS,LINUX,USD,ANNUAL,208.49,0,US Central
Azure,Virtual Machines,Virtual Machines BS Series - B1ms - US East 2,B1MS,LINUX,USD,ANNUAL,173.45,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B1s - EU North,B1S,LINUX,USD,ANNUAL,94.08,0,EU North
Azure,Virtual Machines,Virtual Machines BS Series - B1s - EU West,B1S,LINUX,USD,ANNUAL,99.86,0,EU West
Azure,Virtual Machines,Virtual Machines BS Series - B1s - US Central,B1S,LINUX,USD,ANNUAL,104.07,0,US Central
Azure,Virtual Machines,Virtual Machines BS Series - B1s - US East 2,B1S,LINUX,USD,ANNUAL,86.55,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B20ms - EU North,B20MS,LINUX,USD,ANNUAL,7568.64,0,EU North
Azure,Virtual Machines,Virtual Machines BS Series - B20ms - EU West,B20MS,LINUX,USD,ANNUAL,7989.12,0,EU West
Azure,Virtual Machines,Virtual Machines BS Series - B20ms - US Central,B20MS,LINUX,USD,ANNUAL,8304.48,0,US Central
Azure,Virtual Machines,Virtual Machines BS Series - B20ms - US East 2,B20MS,LINUX,USD,ANNUAL,6920.40,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B2ms - EU North,B2MS,LINUX,USD,ANNUAL,757.74,0,EU North
Azure,Virtual Machines,Virtual Machines BS Series - B2ms - EU West,B2MS,LINUX,USD,ANNUAL,798.91,0,EU West
Azure,Virtual Machines,Virtual Machines BS Series - B2ms - US Central,B2MS,LINUX,USD,ANNUAL,830.45,0,US Central
Azure,Virtual Machines,Virtual Machines BS Series - B2ms - US East 2,B2MS,LINUX,USD,ANNUAL,692.04,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B2s - EU North,B2S,LINUX,USD,ANNUAL,374.93,0,EU North
Azure,Virtual Machines,Virtual Machines BS Series - B2s - EU West,B2S,LINUX,USD,ANNUAL,399.46,0,EU West
Azure,Virtual Machines,Virtual Machines BS Series - B2s - US Central,B2S,LINUX,USD,ANNUAL,415.22,0,US Central
Azure,Virtual Machines,Virtual Machines BS Series - B2s - US East 2,B2S,LINUX,USD,ANNUAL,346.02,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B4ms - EU North,B4MS,LINUX,USD,ANNUAL,1515.48,0,EU North
