vendor,service_name,UPPER(sku),os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,B2S,Windows,CNY,ANNUAL,2786.654178,,CN NORTH 2
Azure,Virtual Machines,B2S,Windows,CNY,ANNUAL,1608,1,CN EAST 2
Azure,Virtual Machines,B2S,Windows,CNY,ANNUAL,1608,1,CN NORTH 2
Azure,Virtual Machines,B4MS,Linux,CNY,ANNUAL,6722.507358,,CN EAST 2
Azure,Virtual Machines,B4MS,Linux,CNY,ANNUAL,6722.507358,,CN NORTH 2
Azure,Virtual Machines,B4MS,Linux,CNY,ANNUAL,2016,1,CN EAST 2
Azure,Virtual Machines,B4MS,Linux,CNY,ANNUAL,2016,1,CN NORTH 2
Azure,Virtual Machines,B4MS,Windows,CNY,ANNUAL,11138.72747,,CN EAST 2
Azure,Virtual Machines,B4MS,Windows,CNY,ANNUAL,11138.72747,,CN NORTH 2
Azure,Virtual Machines,B4MS,Windows,CNY,ANNUAL,6432,1,CN EAST 2
Azure,Virtual Machines,B4MS,Windows,CNY,ANNUAL,6432,1,CN NORTH 2
Azure,Virtual Machines,B8MS,Linux,CNY,ANNUAL,13445.8913,,CN EAST 2
Azure,Virtual Machines,B8MS,Linux,CNY,ANNUAL,13445.8913,,CN NORTH 2
Azure,Virtual Machines,B8MS,Linux,CNY,ANNUAL,4032,1,CN EAST 2
Azure,Virtual Machines,B8MS,Linux,CNY,ANNUAL,4032,1,CN NORTH 2
Azure,Virtual Machines,B8MS,Windows,CNY,ANNUAL,22269.56571,,CN EAST 2
Azure,Virtual Machines,B8MS,Windows,CNY,ANNUAL,22269.56571,,CN NORTH 2
Azure,Virtual Machines,B8MS,Windows,CNY,ANNUAL,12864,1,CN EAST 2
Azure,Virtual Machines,B8MS,Windows,CNY,ANNUAL,12864,1,CN NORTH 2
Azure,Virtual Machines,D11_V2,Linux,CNY,ANNUAL,14305.81824,,CN EAST 2
Azure,Virtual Machines,D11_V2,Linux,CNY,ANNUAL,14305.81824,,CN NORTH 2
Azure,Virtual Machines,D11_V2,Linux,CNY,ANNUAL,5079.96,1,CN EAST 2
Azure,Virtual Machines,D11_V2,Linux,CNY,ANNUAL,5079.96,1,CN NORTH 2
Azure,Virtual Machines,D11_V2,Windows,CNY,ANNUAL,15541.79886,,CN EAST 2
Azure,Virtual Machines,D11_V2,Windows,CNY,ANNUAL,15541.79886,,CN NORTH 2
Azure,Virtual Machines,D11_V2,Windows,CNY,ANNUAL,5508.48,1,CN EAST 2
Azure,Virtual Machines,D11_V2,Windows,CNY,ANNUAL,5508.48,1,CN NORTH 2
Azure,Virtual Machines,D12_V2,Linux,CNY,ANNUAL,28611.63648,,CN EAST 2
Azure,Virtual Machines,D12_V2,Linux,CNY,ANNUAL,28611.63648,,CN NORTH 2
Azure,Virtual Machines,D12_V2,Linux,CNY,ANNUAL,10160.04,1,CN EAST 2
Azure,Virtual Machines,D12_V2,Linux,CNY,ANNUAL,10160.04,1,CN NORTH 2
